family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20,order_21,order_22,order_23,order_24,order_25,order_26,order_27,order_28,order_29,order_30,order_31,order_32,order_33,order_34
3,107,115,251,203,272,188,162,111,108,222,129,100,95,161,122,126,150,303,30,90,1,252,55,241,79,315,160,242,33,27,121,83,36,97
2,28,136,7,234,199,48,264,9,246,190,91,301,134,85,178,144,149,71,189,239,145,163,99,43,13,26,172,275,185,50,288,270,,
1,174,72,258,257,3,238,256,15,32,193,262,51,155,223,209,143,182,250,,,,,,,,,,,,,,,,
3,94,64,60,204,281,11,130,167,5,124,268,84,230,56,212,221,300,244,206,202,49,302,63,101,141,284,198,42,89,45,,,,
3,93,147,266,310,311,170,159,116,73,70,254,265,235,274,123,291,260,179,102,119,269,226,52,81,267,208,75,158,19,168,,,,
3,110,295,278,318,98,243,171,164,195,133,237,86,231,183,69,8,213,186,4,140,218,37,305,277,104,38,227,57,247,298,187,173,176,
3,54,290,283,125,211,217,233,88,253,323,66,207,128,152,236,322,184,31,74,285,312,314,82,191,76,151,177,34,320,316,,,,
2,279,156,131,309,113,319,24,148,92,287,307,137,292,61,192,308,289,106,263,20,142,139,39,,,,,,,,,,,
1,220,240,35,197,65,200,68,224,132,,,,,,,,,,,,,,,,,,,,,,,,,
1,225,44,127,175,293,53,96,297,105,232,215,10,228,304,153,22,21,229,16,,,,,,,,,,,,,,,
3,103,29,194,317,165,18,14,59,40,299,118,276,201,248,62,196,181,109,157,117,,,,,,,,,,,,,,
3,2,138,135,280,67,245,58,25,146,166,6,321,271,154,12,120,23,46,47,313,112,273,17,282,296,,,,,,,,,
2,169,259,255,205,286,78,261,216,214,180,114,80,219,306,,,,,,,,,,,,,,,,,,,,
1,41,210,294,77,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
