family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20,order_21,order_22,order_23,order_24,order_25,order_26,order_27,order_28,order_29,order_30,order_31,order_32,order_33,order_34,order_35,order_36
3,131,341,93,401,188,32,376,276,110,199,267,57,156,234,28,340,183,270,21,220,197,65,23,132,35,398,187,275,230,140,,,,,,
3,350,5,402,161,295,358,309,301,319,191,24,92,287,381,315,155,206,244,133,403,284,389,39,171,390,219,202,40,148,53,347,361,243,61,237,
3,344,354,16,356,311,339,159,265,98,20,329,256,236,200,51,129,143,52,280,405,393,176,17,102,179,370,278,158,33,181,10,208,149,153,73,
3,246,86,349,310,30,229,342,74,71,189,312,66,85,48,291,247,185,163,43,60,168,145,328,334,50,99,55,396,136,137,260,26,170,134,13,120
1,162,108,303,364,241,363,1,81,343,330,371,90,279,160,373,,,,,,,,,,,,,,,,,,,,,
3,297,182,327,130,377,281,238,166,91,196,193,262,44,79,232,116,360,100,67,203,346,109,190,112,42,391,209,400,257,173,124,95,325,84,113,15
1,75,251,68,152,252,126,150,138,359,210,,,,,,,,,,,,,,,,,,,,,,,,,,
3,304,94,11,9,204,378,64,382,3,268,125,27,101,216,22,353,289,12,271,221,352,128,123,231,264,141,37,45,4,307,104,215,122,,,
3,233,198,397,224,225,321,69,97,76,308,195,103,59,186,387,8,49,235,146,218,227,305,345,277,38,242,144,388,313,62,121,395,228,,,
3,374,245,114,217,172,88,250,72,254,107,54,253,211,56,338,273,154,323,82,322,177,151,63,184,314,372,294,19,274,272,223,302,119,,,
3,2,355,299,118,41,165,317,406,194,365,226,320,201,384,266,167,318,36,157,117,,,,,,,,,,,,,,,,
1,6,58,379,207,142,292,106,263,178,351,164,258,,,,,,,,,,,,,,,,,,,,,,,,
3,105,336,96,298,7,115,333,282,283,70,357,192,240,78,261,324,386,29,239,366,369,286,399,285,31,367,34,,,,,,,,,
2,348,18,127,175,293,222,368,380,362,407,174,404,25,326,394,300,335,46,47,269,385,392,296,,,,,,,,,,,,,
1,259,169,111,331,139,14,248,135,213,288,83,214,180,89,80,,,,,,,,,,,,,,,,,,,,,
1,383,337,147,205,212,255,332,306,375,316,,,,,,,,,,,,,,,,,,,,,,,,,,
1,290,77,87,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
