family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20,order_21,order_22,order_23,order_24,order_25,order_26,order_27,order_28,order_29,order_30,order_31,order_32,order_33,order_34,order_35,order_36,order_37
3,370,354,205,340,473,311,159,453,329,363,128,256,102,405,369,51,236,419,52,466,158,447,393,436,176,362,308,179,430,280,33,181,200,20,10,149,477
1,136,153,286,137,195,133,172,335,103,38,227,277,178,417,305,207,345,230,398,301,,,,,,,,,,,,,,,,,
3,54,443,233,402,61,199,217,310,22,71,145,493,334,163,285,377,461,221,124,56,82,100,226,397,485,416,357,463,336,290,450,274,423,488,48,,
3,288,5,380,415,295,400,247,309,24,458,474,394,92,441,16,248,206,315,386,338,282,383,385,284,171,390,138,202,439,39,89,53,148,495,452,36,
3,155,234,74,110,161,401,41,81,188,341,142,28,125,267,487,197,23,65,220,35,131,183,359,263,376,270,413,455,,,,,,,,,
1,40,257,57,238,332,239,262,58,193,489,196,462,209,120,353,330,429,219,76,,,,,,,,,,,,,,,,,,
1,426,108,162,490,105,364,303,237,371,160,411,13,373,,,,,,,,,,,,,,,,,,,,,,,,
1,223,15,265,132,269,140,43,19,55,294,129,337,26,189,396,482,260,168,229,437,73,,,,,,,,,,,,,,,,
3,472,204,264,64,94,478,278,403,3,389,350,446,63,212,101,483,272,12,271,289,366,141,421,44,352,434,123,300,29,347,361,276,9,27,60,70,
3,218,174,246,312,166,325,492,150,422,114,185,281,59,69,139,451,387,431,186,8,407,49,382,250,344,388,343,275,349,134,50,342,449,170,476,,
3,327,182,245,374,88,72,409,156,254,37,211,144,323,287,42,273,154,191,322,399,177,381,408,184,314,372,151,135,253,113,392,444,84,215,109,216,
1,225,321,6,420,379,17,45,292,106,418,86,457,351,,,,,,,,,,,,,,,,,,,,,,,,
3,194,440,433,299,118,244,445,198,356,320,201,97,21,328,147,425,231,95,157,117,464,268,,,,,,,,,,,,,,,
2,395,213,266,115,251,127,116,460,232,91,175,293,465,222,368,187,242,404,297,454,143,255,391,480,173,96,412,66,30,122,79,428,307,435,,,
1,333,358,283,302,14,319,31,298,318,367,180,11,,,,,,,,,,,,,,,,,,,,,,,,,
3,203,224,355,243,210,456,2,414,18,25,384,259,304,47,348,491,4,165,317,486,326,378,475,80,93,360,228,,,,,,,,,,
3,313,331,339,126,410,7,146,192,167,78,406,99,448,104,164,241,46,240,365,346,258,208,479,67,119,,,,,,,,,,,,
3,214,424,471,34,98,459,152,111,169,90,1,190,469,32,442,296,112,235,470,438,107,121,75,,,,,,,,,,,,,,
2,432,468,83,484,62,279,261,324,85,496,467,481,130,,,,,,,,,,,,,,,,,,,,,,,,
1,427,252,68,494,306,291,375,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,87,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
