family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20,order_21
2,4,47,115,119,30,74,130,58,23,13,132,61,18,59,125,,,,,,
2,41,107,116,6,55,113,1,14,92,98,2,64,3,105,44,7,89,15,77,11,9
1,43,111,86,48,122,62,63,10,99,50,28,120,,,,,,,,,
2,45,16,21,78,51,104,97,5,19,57,124,39,65,87,17,49,31,56,,,
1,69,27,72,42,82,29,110,34,53,100,112,60,,,,,,,,,
1,94,108,131,73,102,109,67,88,71,70,103,35,68,,,,,,,,
2,101,12,54,90,38,79,84,106,128,85,37,32,118,129,75,91,40,,,,
2,127,117,22,96,80,33,93,114,20,36,46,121,52,8,83,,,,,,
1,66,24,26,81,126,25,123,95,,,,,,,,,,,,,
1,76,,,,,,,,,,,,,,,,,,,,
