family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20,order_21,order_22
2,130,105,30,162,53,47,4,116,72,160,58,13,132,169,,,,,,,,
1,73,131,149,94,31,74,69,107,167,32,108,62,27,120,28,111,,,,,,
1,87,45,101,140,54,46,9,121,15,49,17,,,,,,,,,,,
2,159,71,41,100,134,55,103,113,173,168,1,5,92,64,125,61,59,,,,,
1,171,102,22,144,39,11,19,57,109,12,,,,,,,,,,,,
2,38,48,90,35,82,42,97,21,78,155,63,68,10,51,163,75,,,,,,
1,151,89,85,14,157,3,129,66,23,70,153,7,128,106,138,156,115,79,29,98,84,65
2,143,142,127,6,18,88,67,56,154,44,24,81,148,161,37,146,91,2,60,,,
2,8,77,96,141,80,93,124,166,36,136,145,170,52,158,86,122,135,16,165,,,
2,119,20,104,99,43,95,172,126,76,25,123,114,83,40,133,,,,,,,
1,117,147,175,33,112,137,34,164,110,50,139,174,118,152,26,150,,,,,,
