family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20,order_21,order_22,order_23,order_24,order_25,order_26
1,196,49,61,5,44,31,87,216,63,202,39,139,106,,,,,,,,,,,,,
2,21,156,20,24,113,128,148,60,92,191,206,56,212,221,101,230,11,64,79,22,84,120,218,140,153,141
1,57,73,70,91,,,,,,,,,,,,,,,,,,,,,,
1,133,195,,,,,,,,,,,,,,,,,,,,,,,,
1,30,130,160,90,1,190,129,51,,,,,,,,,,,,,,,,,,
2,232,222,162,108,15,220,23,197,35,65,7,13,71,166,38,104,107,227,209,112,155,143,,,,
1,76,40,151,82,184,236,180,144,177,,,,,,,,,,,,,,,,,
1,238,193,176,32,240,199,234,239,189,43,185,85,119,134,126,122,74,182,3,173,,,,,,
2,42,110,237,86,33,67,99,145,183,81,102,179,142,208,152,146,200,55,50,98,226,,,,,
1,72,88,233,174,211,36,25,198,17,114,136,58,228,132,,,,,,,,,,,,
1,111,171,164,4,8,186,213,69,219,225,62,115,203,161,89,100,53,96,27,,,,,,,
2,235,231,154,59,12,204,94,210,224,150,54,41,68,175,229,10,46,47,178,181,214,83,121,19,95,
2,124,18,14,2,29,75,103,165,194,45,131,66,37,149,118,125,117,157,77,201,,,,,,
2,188,28,159,207,147,105,97,6,78,192,116,170,172,93,167,158,163,52,123,9,168,26,187,217,,
2,127,16,138,205,135,48,169,223,137,109,215,34,80,,,,,,,,,,,,,
