family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20,order_21,order_22,order_23,order_24,order_25,order_26,order_27,order_28,order_29,order_30,order_31,order_32
2,5,125,350,268,3,284,382,202,40,133,219,390,171,161,402,39,148,53,243,347,361,237,,,,,,,,,,
2,20,98,329,265,159,17,176,179,102,324,370,158,278,149,33,181,10,119,73,61,,,,,,,,,,,,
3,24,191,301,309,319,358,295,92,287,381,206,155,315,244,403,389,212,255,383,123,221,231,264,141,37,45,4,210,15,371,275,13
3,32,188,401,23,65,183,340,110,276,376,197,220,21,35,187,199,57,270,134,398,230,140,153,120,170,,,,,,,
1,44,91,166,193,262,196,238,281,209,400,79,190,130,257,313,182,124,62,,,,,,,,,,,,,,
1,75,152,252,330,126,359,138,68,7,279,363,343,,,,,,,,,,,,,,,,,,,,
1,86,70,172,357,195,308,305,93,345,388,38,144,50,247,396,137,294,113,104,122,,,,,,,,,,,,
2,103,76,97,8,49,186,387,218,235,146,225,321,227,242,277,298,241,90,160,28,373,121,109,307,215,,,,,,,
3,108,162,303,364,147,150,1,337,100,360,391,173,105,297,96,336,95,325,395,42,84,228,,,,,,,,,,
2,189,168,71,328,334,136,145,260,229,26,272,19,302,34,,,,,,,,,,,,,,,,,,
1,310,349,217,256,239,29,285,369,274,393,16,354,399,314,208,151,,,,,,,,,,,,,,,,
2,344,60,55,99,312,291,163,43,74,342,185,132,112,346,223,296,316,,,,,,,,,,,,,,,
1,30,267,131,156,234,341,48,85,246,66,356,129,51,52,143,200,405,82,184,,,,,,,,,,,,,
1,56,322,63,177,372,253,154,273,180,89,385,392,367,80,,,,,,,,,,,,,,,,,,
3,72,88,107,250,254,54,211,323,67,203,338,25,245,374,394,327,326,355,36,318,,,,,,,,,,,,
1,114,14,286,31,333,139,236,261,214,164,178,263,,,,,,,,,,,,,,,,,,,,
2,198,233,59,115,224,251,397,69,22,81,216,12,271,304,289,353,352,27,175,404,300,335,258,379,,,,,,,,
1,226,201,167,266,117,157,269,306,375,,,,,,,,,,,,,,,,,,,,,,,
2,232,377,116,127,368,222,293,2,18,380,101,128,9,11,46,47,362,240,106,,,,,,,,,,,,,
2,292,142,207,58,6,192,78,64,94,204,378,351,366,280,386,288,,,,,,,,,,,,,,,,
1,174,407,348,384,41,165,194,317,406,332,77,249,,,,,,,,,,,,,,,,,,,,
1,248,331,111,169,259,135,205,213,83,290,87,,,,,,,,,,,,,,,,,,,,,
1,282,283,311,339,365,118,299,320,,,,,,,,,,,,,,,,,,,,,,,,
