family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20,order_21,order_22,order_23,order_24,order_25,order_26,order_27,order_28,order_29,order_30,order_31,order_32,order_33,order_34,order_35
3,5,288,350,389,3,284,403,202,385,386,36,138,390,171,380,39,439,89,148,29,495,347,361,452,9,237,336,,,,,,,,
2,15,223,58,193,239,262,196,489,238,57,107,209,462,40,257,120,76,219,373,13,413,267,455,134,353,371,359,275,73,207,129,,,,
1,22,310,217,488,450,290,149,357,416,485,56,124,280,436,200,,,,,,,,,,,,,,,,,,,,
3,24,247,309,458,474,400,295,394,415,16,92,441,206,248,315,244,338,212,282,383,123,421,63,101,434,365,346,141,53,360,276,27,428,417,444
3,61,199,226,100,82,397,168,461,393,145,48,396,274,337,449,423,10,20,477,70,60,,,,,,,,,,,,,,
3,81,188,41,401,23,65,197,220,487,183,110,161,376,263,35,131,74,270,125,28,398,230,343,301,153,170,476,418,,,,,,,
2,108,162,426,303,364,411,160,429,1,90,105,490,410,349,330,66,30,121,412,467,216,109,215,435,268,,,,,,,,,,
2,128,329,363,453,159,362,176,308,179,430,52,466,33,419,181,241,208,342,113,75,,,,,,,,,,,,,,,
3,218,174,126,150,427,252,85,68,432,115,213,224,7,203,300,146,481,59,305,388,173,307,84,147,,,,,,,,,,,
3,332,190,34,339,459,182,327,460,470,122,112,235,79,438,255,395,93,296,378,,,,,,,,,,,,,,,,
2,335,172,133,195,137,286,8,186,387,431,139,451,281,422,407,49,382,136,345,38,103,250,50,26,463,119,67,,,,,,,,
1,402,221,334,493,55,99,163,233,406,19,166,448,104,205,354,324,,,,,,,,,,,,,,,,,,,
1,492,325,246,312,443,344,185,236,51,158,43,260,482,229,437,340,178,,,,,,,,,,,,,,,,,,
2,37,72,88,156,254,191,42,98,253,54,144,154,273,442,32,392,469,135,210,322,408,151,302,228,,,,,,,,,,,
1,91,232,116,127,404,187,143,391,480,242,297,454,175,96,465,355,496,304,464,,,,,,,,,,,,,,,,
1,114,69,225,321,251,266,12,271,289,366,472,44,352,64,264,,,,,,,,,,,,,,,,,,,,
2,155,140,142,234,341,132,265,189,227,277,71,294,447,369,405,46,370,258,240,164,479,314,,,,,,,,,,,,,
2,211,287,323,381,399,184,177,372,152,180,367,318,285,31,214,,,,,,,,,,,,,,,,,,,,
2,292,45,17,379,420,106,86,457,351,130,261,97,,,,,,,,,,,,,,,,,,,,,,,
2,319,14,298,283,333,313,468,102,11,245,374,326,80,425,316,,,,,,,,,,,,,,,,,,,,
2,356,201,198,21,328,95,231,117,157,433,375,,,,,,,,,,,,,,,,,,,,,,,,
2,2,18,414,456,368,222,293,25,348,47,491,4,165,194,317,486,475,279,306,,,,,,,,,,,,,,,,
2,6,192,94,204,278,478,269,272,483,446,167,83,494,,,,,,,,,,,,,,,,,,,,,,
1,78,311,473,256,377,358,409,331,111,445,384,243,87,77,,,,,,,,,,,,,,,,,,,,,
1,259,440,169,471,118,299,291,320,249,,,,,,,,,,,,,,,,,,,,,,,,,,
1,62,424,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
